"conference","year","doi","title","citationCount","download6weeks","download12months","downloadAll","keywords","pageNumber","authors"
"CHI","01","http://dx.doi.org/10.1145/365024.365109","Teachers as simulation programmers: minimalist learning and reuse","5 ","7","27","618","curriculum; general; management; simulations; theory; training, help, and documentation","8","Mary Beth Rosson, Department of Computer Science, Virginia Tech, Blacksburg, VA"
"CHI","01","http://dx.doi.org/10.1145/365024.365111","Locus of feedback control in computer-based tutoring: impact on learning rate, achievement and attitudes","29 ","11","80","1,061","computer uses in education; feedback in problem solving; instructional interface design; management; performance; theory; user/machine systems","8","Albert T. Corbett, Human Computer Interaction Institute, Carnegie Mellon University, Pittsburgh, PA"
"CHI","01","http://dx.doi.org/10.1145/365024.365112","Sensetable: a wireless object tracking platform for tangible user interfaces","82 ","26","153","1,494","artificial, augmented, and virtual realities; design; interaction techniques; management; performance; tangible user interface; two-handed manipulation; virtual reality","8","James Patten, Tangible Media Group, MIT Media Lab, 20 Ames Street, Cambridge, MA; Hiroshi Ishii, Tangible Media Group, MIT Media Lab, 20 Ames Street, Cambridge, MA; Jim Hines, System Dynamics Group, MIT Sloan School of Management, 50 Memorial Drive, Cambridge, MA"
"CHI","01","http://dx.doi.org/10.1145/365024.365114","Surface drawing: creating organic 3D shapes with the hand and tangible tools","52 ","27","193","1,983","3d modeling; curve, surface, solid, and object representations; design prototyping; fine arts; human factors; interaction techniques; performance; semi-immersive environment; theory","8",""
"CHI","01","http://dx.doi.org/10.1145/365024.365115","DataTiles: a modular platform for mixed physical and graphical interactions","70 ","19","107","1,489","design; graphical user interfaces; interaction styles; interaction techniques; performance; tangible user interfaces; visual language","8","Jun Rekimoto, Interaction Laboratory, Sony Computer Science Laboratories, Inc., 3-14-13 Higashigotanda, Shinagawa-ku, Tokyo 141-0022 Japan; Brygg Ullmer, Tangible Media Group, MIT Media Laboratory, 20 Ames Street, Cambridge, MA"
"CHI","01","http://dx.doi.org/10.1145/365024.365116","Optimizing search by showing results in context","82 ","13","75","1,510","design; human factors; measurement; search; text categorization; usability; user study; web-based services","8","Susan Dumais, Microsoft Research, One Microsoft Way, Redmond, WA; Edward Cutrell, Microsoft Research, One Microsoft Way, Redmond, WA"
"CHI","01","http://dx.doi.org/10.1145/365024.365117","Robust annotation positioning in digital documents","30 ","10","70","1,121","algorithms; annotation system design; digital; document capture; documents; general; management; performance; theory; user/machine systems","8","A. J. Bernheim Brush, Collaboration and Multimedia Systems Group, Microsoft Research, Redmond, WA; David Bargeron, Collaboration and Multimedia Systems Group, Microsoft Research, Redmond, WA; Anoop Gupta, Collaboration and Multimedia Systems Group, Microsoft Research, Redmond, WA"
"CHI","01","http://dx.doi.org/10.1145/365024.365118","Reading of electronic documents: the usability of linear, fisheye, and overview+detail interfaces","45 ","15","79","1,542","design; document capture; electronic documents; human factors; information visualization; reading activity; theory; user interfaces; user/machine systems","8",""
"CHI","01","http://dx.doi.org/10.1145/365024.365119","Eye gaze patterns in conversations: there is more to conversational agents than meets the eyes","85 ","32","186","2,005","attention-based interfaces; conversational attention; gaze; languages; measurement; multiparty communication; theory","8","Roel Vertegaal, Queen's University, Canada; Robert Slagter, Vrije Universiteit, The Netherlands"
"CHI","01","http://dx.doi.org/10.1145/365024.365121","The impact of eye gaze on communication using humanoid avatars","55 ","15","122","1,730","artificial, augmented, and virtual realities; collaborative virtual enviroments; design; experimentation; human factors; management; mediated communication; performance; virtual reality","8","Maia Garau, Department of Computer Science, University College London (UCL), Gower St., London, WC1E 6BT, UK; Mel Slater, Department of Computer Science, University College London (UCL), Gower St., London, WC1E 6BT, UK; Simon Bee, Parametric Technology Corp., 19 Apex Court, Woodlands, Almondsbury Park, Bristol, BS32 4JT, UK and MLB3/7, BT Labs., Martlesham Heath, Ipswich, IP5 3RE, UK"
"CHI","01","http://dx.doi.org/10.1145/365024.365124","The dynamics of mass online marketplaces: a case study of an online auction","6 ","13","68","1,823","design; electronic marketplaces; information overload; management; market technostructure; measurement; performance; user interfaces","8",""
"CHI","01","http://dx.doi.org/10.1145/365024.383749","Casablanca: designing social communication devices for the home","93 ","11","122","2,205","design; social issues","8","Debby Hindus, Interval Research Corp.; Scott D. Mainwaring, Interval Research Corp.; Nicole Leduc, Interval Research Corp.; Anna Elizabeth Hagstr&#246;m, Interval Research Corp."
"CHI","01","http://dx.doi.org/10.1145/365024.365126","Digital family portraits: supporting peace of mind for extended family members","164 ","66","249","2,252","aging; awareness; home; light-weight interaction; performance; ubiquitous computing; visualization","8","Elizabeth D. Mynatt, Everyday Computing Lab, Graphics, Visualization and Usability Center, Georgia Institute of Technology, Atlanta, GA; Jim Rowan, Everyday Computing Lab, Graphics, Visualization and Usability Center, Georgia Institute of Technology, Atlanta, GA; Sarah Craighill, Everyday Computing Lab, Graphics, Visualization and Usability Center, Georgia Institute of Technology, Atlanta, GA"
"CHI","01","http://dx.doi.org/10.1145/365024.365130","Social navigation of food recipes","25 ","13","92","1,652","awareness; electronic commerce; management; performance; privacy; security; theory; web-based services","8","Martin Svensson, HUMLE, SICS, Box 1263, S-164 29 Kista, Sweden; Kristina H&#246;&#246;k, HUMLE, SICS, Box 1263, S-164 29 Kista, Sweden; Jarmo Laaksolahti, HUMLE, SICS, Box 1263, S-164 29 Kista, Sweden"
"CHI","01","http://dx.doi.org/10.1145/365024.365298","Chinese input with keyboard and eye-tracking: an anatomical study","25 ","8","64","1,095","chinese text input; documentation; evaluation/methodology; eye-tracking; gaze-tracking; human factors; interaction styles; languages; measurement; natural language; performance modeling; theory","8","Jingtao Wang, IBM China Research Lab, No. 7, 5th Street, Shangdi, Beijing, 100085, P. R. China; Shumin Zhai, IBM Almaden Research Center, 650 Harry Road, San Jose, CA"
"CHI","01","http://dx.doi.org/10.1145/365024.365299","Model for unistroke writing time","11 ","6","33","561","design; handwriting; input devices and strategies; measurement; pen input; theory","8",""
